Date,open,high,low,close,volume
2025-03-21,943.01,951.3,933.23,946.72,5211600
2025-03-24,955.59,967.86,951.96,958.42,640000
2025-03-25,965.37,972.13,956.79,968.35,566700
2025-03-26,969.86,975.04,958.92,963.14,667600
2025-03-27,960.42,971.65,952.46,962.84,479100
2025-03-28,961.15,962.55,940.79,941.71,568800
2025-03-31,928.68,944.37,915.6,941.49,1195500
2025-04-01,940.93,952.34,926.5,939.11,668600
2025-04-02,929.11,960.87,929.11,956.77,490300
2025-04-03,913.72,923.32,882.49,882.97,903000
2025-04-04,848.39,855.99,806.89,818.29,1615100
2025-04-07,785.47,841.76,769.66,813.19,1654100
2025-04-08,844.83,852.29,800.76,811.42,1812200
2025-04-09,796.32,900.14,794.94,892.35,1821500
2025-04-10,874.86,875.77,828.71,854.26,1235600
2025-04-11,843.7,883.87,836.07,874.15,963000
2025-04-14,892.54,895.26,874.96,885.26,970300
2025-04-15,884.22,896.0,881.56,883.76,516200
2025-04-16,876.6,882.23,850.71,861.22,591500
2025-04-17,866.46,885.44,861.61,871.17,1034300
2025-04-21,862.43,865.42,841.36,849.5,644400
2025-04-22,865.34,883.79,859.96,882.55,600700
2025-04-23,904.38,924.11,884.08,887.84,553100
2025-04-24,890.78,911.88,888.21,911.43,619700
2025-04-25,908.44,913.43,894.62,902.91,444400
2025-04-28,901.46,918.65,901.46,908.93,685200
2025-04-29,906.09,916.84,900.28,915.67,392300
2025-04-30,901.19,911.06,889.23,909.44,1028900
2025-05-01,908.15,919.01,901.14,911.31,451700
2025-05-02,926.51,930.23,919.45,924.3,822500
2025-05-05,918.08,928.78,915.34,915.68,384100
2025-05-06,905.69,918.9,901.79,910.15,482900
2025-05-07,912.82,920.12,910.02,915.51,547800
2025-05-08,925.1,940.0,922.33,923.75,626700
2025-05-09,925.1,927.13,917.26,918.58,684800
2025-05-12,956.36,959.86,946.12,952.98,807900
2025-05-13,954.83,963.22,952.93,954.13,604900
2025-05-14,954.94,964.88,953.95,961.97,679200
2025-05-15,963.58,984.23,962.02,977.9,1156600
2025-05-16,981.55,986.89,977.34,984.5,723600
2025-05-19,974.03,990.41,971.39,988.43,495000
2025-05-20,982.69,993.74,982.32,992.45,536700
2025-05-21,983.79,991.43,965.97,967.71,696000
2025-05-22,966.88,972.64,960.59,964.79,364100
2025-05-23,951.85,964.62,945.29,958.11,517500
2025-05-27,970.55,976.33,962.89,976.15,843100
2025-05-28,976.82,979.31,964.63,966.16,367100
2025-05-29,972.93,974.37,960.88,971.18,455500
2025-05-30,968.01,974.81,962.24,974.73,1061000
2025-06-02,970.57,974.73,959.92,972.92,425000
