Date,open,high,low,close,volume
2024-11-22,409.12,415.12,408.81,414.72,24814600
2024-11-25,416.09,418.78,412.58,416.5,27691100
2024-11-26,417.3,426.7,416.56,425.65,23458900
2024-11-27,422.79,424.9,419.71,420.68,18332400
2024-11-29,417.79,422.56,415.52,421.15,16271900
2024-12-02,419.27,430.63,419.01,428.62,20207200
2024-12-03,427.49,430.11,425.4,428.84,18302000
2024-12-04,430.66,437.27,430.27,435.03,26009400
2024-12-05,435.53,442.23,433.79,440.2,21697800
2024-12-06,439.88,443.66,439.36,441.15,18821000
2024-12-09,440.18,445.88,438.09,443.58,19144400
2024-12-10,441.96,447.16,439.19,440.91,18469500
2024-12-11,441.62,447.89,441.62,446.54,19200200
2024-12-12,446.66,453.67,446.66,447.1,20834800
2024-12-13,445.99,448.96,443.14,444.83,20177800
2024-12-16,444.83,449.71,442.85,449.12,23598800
2024-12-17,448.55,452.8,447.11,451.98,22733500
2024-12-18,448.85,450.18,434.63,435.0,24444500
2024-12-19,439.21,440.76,433.94,434.64,22963700
2024-12-20,430.74,441.32,426.29,434.21,64263700
2024-12-23,434.35,435.26,430.46,432.87,19152500
2024-12-24,432.27,437.2,431.82,436.93,7164500
2024-12-26,436.68,438.53,434.24,435.72,8194200
2024-12-27,432.22,432.84,424.02,428.18,18117700
2024-12-30,423.73,425.21,419.59,422.51,13158700
2024-12-31,423.77,424.4,418.36,419.2,13246500
2025-01-02,423.2,423.74,412.58,416.29,16896500
2025-01-03,418.78,421.71,417.25,421.04,16662900
2025-01-06,425.66,431.95,423.15,425.51,20573600
2025-01-07,426.66,428.3,418.5,420.06,18139100
2025-01-08,421.15,424.64,419.24,422.24,15054600
2025-01-10,422.31,422.39,412.75,416.66,20201100
2025-01-13,412.97,416.21,410.04,414.91,17604800
2025-01-14,415.53,417.45,408.48,413.4,16935900
2025-01-15,416.84,425.81,415.98,423.98,19637800
2025-01-16,426.36,427.14,422.07,422.26,15300000
2025-01-17,431.72,432.11,425.83,426.69,26197500
2025-01-21,427.85,428.55,423.27,426.16,26085700
2025-01-22,435.17,444.83,433.62,443.76,27803800
2025-01-23,439.58,444.31,439.09,444.27,18389300
2025-01-24,442.73,444.21,438.99,441.63,15549500
2025-01-27,421.69,432.82,421.19,432.19,35647800
2025-01-28,432.22,445.93,429.02,444.76,23491700
2025-01-29,444.25,444.44,437.99,439.91,23581400
2025-01-30,416.48,420.55,410.9,412.72,54586300
2025-01-31,416.69,418.39,412.64,412.79,34161900
2025-02-03,409.35,413.14,406.43,408.67,25679100
2025-02-04,410.43,411.66,407.5,410.12,20532100
2025-02-05,410.1,411.57,408.16,411.03,16316700
2025-02-06,411.74,415.91,411.74,413.55,16309800
2025-02-07,414.2,416.36,405.87,407.51,22886800
2025-02-10,411.45,413.19,408.67,409.97,20817900
2025-02-11,407.4,410.24,407.06,409.19,18140600
2025-02-12,404.98,408.51,402.16,406.8,19121700
2025-02-13,404.78,408.75,404.14,408.3,23891700
2025-02-14,405.56,406.68,403.66,406.2,22758500
2025-02-18,405.77,408.36,404.28,407.4,21423100
2025-02-19,405.65,413.22,405.42,412.5,24114200
2025-02-20,413.85,417.85,411.11,414.69,23508700
2025-02-21,415.89,416.6,406.47,406.79,27524800
2025-02-24,407.09,407.95,397.93,402.6,26443700
2025-02-25,399.71,400.53,395.32,396.52,29387400
2025-02-26,396.63,402.2,392.88,398.34,19619000
2025-02-27,399.88,404.33,390.81,391.17,21127400
2025-02-28,391.3,396.25,385.23,395.61,32845700
2025-03-03,397.44,397.44,384.82,387.14,23007700
2025-03-04,382.07,391.22,379.68,387.26,29342900
2025-03-05,387.99,400.28,387.46,399.63,23433100
2025-03-06,392.91,400.75,391.32,395.51,23304600
2025-03-07,390.96,393.43,384.2,391.94,22034100
2025-03-10,384.5,385.06,375.91,378.84,32840100
2025-03-11,377.68,384.66,375.6,379.13,30380200
2025-03-12,381.62,383.88,377.63,381.94,24253600
2025-03-13,381.83,383.98,376.14,377.46,20473000
2025-03-14,378.46,388.88,378.19,387.21,19952800
2025-03-17,385.36,391.35,384.23,387.35,22474300
2025-03-18,385.73,386.03,379.78,382.19,19486900
2025-03-19,384.19,388.33,382.67,386.47,19185500
2025-03-20,384.4,390.43,381.95,385.5,18470500
2025-03-21,381.89,390.38,381.47,389.9,39675900
2025-03-24,394.03,394.03,388.46,391.72,21004500
2025-03-25,392.55,394.98,391.28,393.79,15775000
2025-03-26,393.63,393.94,387.22,388.62,16108400
